Province,Livestock_Raised,profession,gender,count_registered_farmers
SIQUIJOR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,17
SIQUIJOR,Cattle,Farmers who are farm laborers and/or fishermen,Female,561
SIQUIJOR,Goats,Farmers who are farm laborers and/or fishermen,Female,481
SIQUIJOR,Horses,Farmers who are farm laborers and/or fishermen,Female,1
SIQUIJOR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,634
SIQUIJOR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
SIQUIJOR,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
SULTAN KUDARAT,Asses,Farmers who are farm laborers and/or fishermen,Female,3
SULTAN KUDARAT,Bees,Farmers who are farm laborers and/or fishermen,Female,0
SULTAN KUDARAT,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,161
SULTAN KUDARAT,Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Female,0
SULTAN KUDARAT,Cattle,Farmers who are farm laborers and/or fishermen,Female,140
SULTAN KUDARAT,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,0
SULTAN KUDARAT,Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Female,0
SULTAN KUDARAT,Goats,Farmers who are farm laborers and/or fishermen,Female,270
SULTAN KUDARAT,Horses,Farmers who are farm laborers and/or fishermen,Female,182
SULTAN KUDARAT,Mules and hinnies,Farmers who are farm laborers and/or fishermen,Female,0
SULTAN KUDARAT,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,0
SULTAN KUDARAT,Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Female,1
SULTAN KUDARAT,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,696
SULTAN KUDARAT,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
SULTAN KUDARAT,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
SULTAN KUDARAT,Yaks,Farmers who are farm laborers and/or fishermen,Female,0
SURIGAO DEL NORTE,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,118
SURIGAO DEL NORTE,Cattle,Farmers who are farm laborers and/or fishermen,Female,13
SURIGAO DEL NORTE,Goats,Farmers who are farm laborers and/or fishermen,Female,33
SURIGAO DEL NORTE,Horses,Farmers who are farm laborers and/or fishermen,Female,2
SURIGAO DEL NORTE,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,2
SURIGAO DEL NORTE,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,385
SURIGAO DEL NORTE,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
SURIGAO DEL NORTE,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
SURIGAO DEL NORTE,Silkworms,Farmers who are farm laborers and/or fishermen,Female,0
SURIGAO DEL SUR,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,139
SURIGAO DEL SUR,Cattle,Farmers who are farm laborers and/or fishermen,Female,14
SURIGAO DEL SUR,Goats,Farmers who are farm laborers and/or fishermen,Female,30
SURIGAO DEL SUR,Horses,Farmers who are farm laborers and/or fishermen,Female,2
SURIGAO DEL SUR,Mules and hinnies,Farmers who are farm laborers and/or fishermen,Female,0
SURIGAO DEL SUR,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,0
SURIGAO DEL SUR,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,445
SURIGAO DEL SUR,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
SURIGAO DEL SUR,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
ZAMBOANGA DEL NORTE,Asses,Farmers who are farm laborers and/or fishermen,Female,1
ZAMBOANGA DEL NORTE,Bees,Farmers who are farm laborers and/or fishermen,Female,0
ZAMBOANGA DEL NORTE,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,"1,554"
ZAMBOANGA DEL NORTE,Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Female,2
ZAMBOANGA DEL NORTE,Cattle,Farmers who are farm laborers and/or fishermen,Female,"1,049"
ZAMBOANGA DEL NORTE,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,0
ZAMBOANGA DEL NORTE,Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Female,0
ZAMBOANGA DEL NORTE,Goats,Farmers who are farm laborers and/or fishermen,Female,624
ZAMBOANGA DEL NORTE,Horses,Farmers who are farm laborers and/or fishermen,Female,193
ZAMBOANGA DEL NORTE,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,0
ZAMBOANGA DEL NORTE,Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Female,0
ZAMBOANGA DEL NORTE,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,"3,687"
ZAMBOANGA DEL NORTE,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
ZAMBOANGA DEL NORTE,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
ZAMBOANGA DEL NORTE,Silkworms,Farmers who are farm laborers and/or fishermen,Female,0
ZAMBOANGA DEL NORTE,Yaks,Farmers who are farm laborers and/or fishermen,Female,0
SARANGANI,Asses,Farmers who are farm laborers and/or fishermen,Female,1
SARANGANI,Bees,Farmers who are farm laborers and/or fishermen,Female,1
SARANGANI,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,120
SARANGANI,Camels/Llamas and alpacas,Farmers who are farm laborers and/or fishermen,Female,1
SARANGANI,Cattle,Farmers who are farm laborers and/or fishermen,Female,226
SARANGANI,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,1
SARANGANI,Fur-bearing animals such as foxes and minks,Farmers who are farm laborers and/or fishermen,Female,2
SARANGANI,Goats,Farmers who are farm laborers and/or fishermen,Female,193
SARANGANI,Horses,Farmers who are farm laborers and/or fishermen,Female,123
SARANGANI,Mules and hinnies,Farmers who are farm laborers and/or fishermen,Female,1
SARANGANI,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,0
SARANGANI,Other equines (e.g. zebras),Farmers who are farm laborers and/or fishermen,Female,0
SARANGANI,Other worms or insects,Farmers who are farm laborers and/or fishermen,Female,0
SARANGANI,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,621
SARANGANI,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,0
SARANGANI,Sheep,Farmers who are farm laborers and/or fishermen,Female,4
SARANGANI,Silkworms,Farmers who are farm laborers and/or fishermen,Female,0
SARANGANI,Yaks,Farmers who are farm laborers and/or fishermen,Female,0
APAYAO,Buffaloes (Carabaos),Farmers who are farm laborers and/or fishermen,Female,230
APAYAO,Cattle,Farmers who are farm laborers and/or fishermen,Female,21
APAYAO,Deer elk reindeer,Farmers who are farm laborers and/or fishermen,Female,0
APAYAO,Goats,Farmers who are farm laborers and/or fishermen,Female,36
APAYAO,Horses,Farmers who are farm laborers and/or fishermen,Female,0
APAYAO,Other animals (e.g. ostriches emus elephants),Farmers who are farm laborers and/or fishermen,Female,1
APAYAO,Pigs or swine,Farmers who are farm laborers and/or fishermen,Female,530
APAYAO,Rabbits and hares,Farmers who are farm laborers and/or fishermen,Female,1
APAYAO,Sheep,Farmers who are farm laborers and/or fishermen,Female,0
